,titles,publishers,authors,years
221,Community organizing and development,"2nd ed. New York : Macmillan ; Toronto : Maxwell Macmillan Canada, c1992","Rubin, Herbert J. Rubin, Irene",1992
222,"Guns, germs, and steel : the fates of human societies","London : Jonathan Cape, 1997","Diamond, Jared M.",1997
223,Social work with groups : using the class as a group leadership laboratory,"5th ed. Pacific Grove, CA : Brooks/Cole, c2001","Zastrow, Charles.",2001
224,Liberalism and the moral life,"Cambridge, Mass. : Harvard University Press, 1989","Rosenblum, Nancy L. 1947-",1989
225,"A handbook of political sociology : states, civil societies, and globalization","Cambridge, UK ; New York : Cambridge University Press, 2005","Janoski, Thomas",2005
226,Justice for here and now,"Cambridge, U.K. : Cambridge University Press, 1998","Sterba, James P.",1998
227,The politics of social work,"London : SAGE, 2001","Powell, Frederick W.",2001
228,The practice of critical discourse analysis : an introduction,"London : Hodder Arnold, 2007","Bloor, Meriel 1934- Bloor, Thomas 1935-",2007
229,Cities in a world economy,"3rd ed. Thousand Oaks, Calif. : Pine Forge Press, c2006","Sassen, Saskia.",2006
230,Blending east and west : understanding the changing Chinese society,"Singapore : McGraw Hill, c2012","Tsang, Eileen Yuk-ha. Igoe, Mike",2012
231,The globalization reader,"Fifth edition. Chichester, West Sussex, UK ; Malden, MA : Wiley Blackwell, 2015","Lechner, Frank J. editor.; Boli, John 1948- editor.",2015
232,Anti-oppressive practice : social care and the law,"2nd ed. Milton Keynes : Open University Press, 2006","Dalrymple, Jane 1951- Burke, Beverley 1957-",2006
233,Make your mark! : influencing across your organization,"London : McGraw Hill Pub. Co., c1997","Craig, Sue 1949-",1997
234,Social and political philosophy : contemporary readings,"Fort Worth : Harcourt Brace College Publishers, c1999","Brody, Baruch A. Sher, George",1999
235,European Prehistory : A Survey,"2. New York, NY : Springer New York : Imprint: Springer, 2011","Milisauskas, Sarunas editor.",2011
236,Political sociology : a comparative/historical approach,"Dix Hills, N.Y. : General Hall, c1990","Berberoglu, Berch.",1990
237,A mutual-aid model for social work with groups,"Third edition. Abingdon, Oxon : Routledge, 2014","Steinberg, Dominique Moyse author.",2014
238,Community practice : conceptual models,"New York : Haworth Press, c1996","Weil, Marie 1941-",1996
239,Practical politics : social work and political responsibility,"Silver Spring, Md. : National Association of Social Workers, c1982","Mahaffey, Maryann; Hanks, John W; National Association of Social Workers.",1982
240,Social work with older adults : a biopsychosocial approach to assessment and intervention,"4th ed. Boston : Pearson, c2014","McInnis-Dittrich, Kathleen 1951-",2014
241,The city : a global history,"New York : Modern Library, c2005","Kotkin, Joel.",2005
242,The globalization of Chinese food,"Richmond, Surrey : Curzon, 2002","Wu, David Y. H; Cheung, Sidney C. H",2002
243,優勢觀點與社會工作實務 : 邁向復元之路,"一版. 臺北市 : 洪葉文化事業有限公司, 2018","Song, Liyu, author. ; 宋麗玉 author. Bai, Qianru; 白倩如 author.",2018
244,公民參與 : 社會政策的基石,"香港 : 中華書局, 1995","Mo, Taiji ; 莫泰基.",1995
245,Doing your research project : a guide for first-time researchers,"Sixth edition. Berkshire : Open University Press, 2014","Bell, Judith 1930- author.",2014
246,Discovering statistics using IBM SPSS statistics,"5th edition. Los Angeles, California : SAGE Publications, 2018","Field, Andy P. author. Field, Andy P",2018
247,Media technology and society : a history : from the telegraph to the Internet,"London ; New York : Routledge, 1998","Winston, Brian author. Winston, Brian",1998
248,Organizing for power and empowerment,"New York : Columbia University Press, 1994","Mondros, Jacqueline B. Wilson, Scott M",1994
249,"The encyclopedia of science, technology, and society","New York ; London : Fitzroy Dearborn, c1999","Volti, Rudi.",1999
250,"Science, technology, and society : the impact of science in the 19th century","Detroit, Mich. : U-X-L, c2001","Newton, David E; Schlager, Neil 1966-.; Sisung, Kelle S",2001
251,"Social workers : their role & tasks : the report of a working party set up in October 1980, at the request of the Secretary of State for Social Services,","London : Bedford Square Press, NCVO, 1982","Barclay, Peter M; National Institute for Social Work.",1982
252,Community analysis and praxis : toward a grounded civil society,"Philadelphia : Brunner-Routledge, c2001","Figueira-McDonough, Josefina.",2001
253,"Science, technology, and society : an introduction","Cambridge, U.K. ; New York : Cambridge University Press, 1998","Bridgstock, Martin 1948-",1998
254,"Empowerment, participation and social work","4th ed. Basingstoke, Hampshire ; New York : Palgrave Macmillan, 2008","Adams, Robert 1944- Adams, Robert 1944-",2008
255,Social work and local politics,"Basingstoke : Macmillan, 1989","Daniel, Paul. Wheeler, John",1989
256,Ethical theory and business,"Beauchamp, Tom L; Bowie, Norman E. 1942-","Beauchamp, Tom L; Bowie, Norman E. 1942-",1942
257,Social exclusion in Europe : problems and paradigms,"Aldershot : Ashgate, 1999","Littlewood, Paul 1943-",1999
258,小武 = Xiao Wu,"London : Artificial Eye distributor, c2004","Jia, Zhangke, 1970-; Wang, Hongwei, actor; Hao, Hongjian; Zuo, Baitao; Ma, Jinrui; Liu, Junying, actor; Beijing dian ying xue yuan; 贾樟柯 1970-; 王宏伟 actor.; 郝鸿建; 左百韬; 马金瑞; 刘俊英 actor.; 北京电影学院.; Artificial Eye (Firm)",2004
259,Hong Kong's housing policy : a case study in social justice,"Hong Kong : Hong Kong University Press, c2008","Yung, Betty.",2008
260,Readings in community work,"London : Allen & Unwin, 1981","Henderson, Paul; Thomas, David N",1981
261,Community economic development and social work,"New York : Haworth Press, c1998","Sherraden, Margaret S; Ninacs, William A",1998
262,Community development : community-based alternatives in an age of globalisation,"2nd ed. Frenchs Forest, N.S.W. : Pearson Education, 2002","Ife, Jim 1946-",2002
263,"The spectacle of accumulation : essays in culture, media, & politics","New York, N.Y. : P. Lang, c2006","Jhally, Sut.",2006
264,Analysing community work : its theory and practice,"Buckingham : Open University Press, 1995","Popple, Keith.",1995
265,Social networks and social support,"Beverly Hills, Calif. : Sage, c1981","Gottlieb, Benjamin H",1981
266,漢語與華人社會,"香港 : 香港城市大學出版社 ; 上海市 : 復旦大學出版社, c2003","Tsou, Benjamin Ka-yin. ; 鄒嘉彥. You, Rujie, 1941-; 游汝杰 1941-",2003
267,"社耕拾穗. (2), 以社區為本, 綜合模式為主的社區服務","香港 : 聖公會麥理浩夫人中心, 1999","S. K. H. Lady MacLehose Centre (Hong Kong, China). ""She geng shi sui"" bian ji xiao zu; 聖公會麥理浩夫人中心(香港, 中國). 《社耕拾穗》編輯小組.",1999
268,Social work and community care,"Basingstoke : Macmillan, 1995","Payne, Malcolm 1947- Campling, Jo",1995
269,Global issues,"Thirty-third edition. New York : McGraw-Hill, 2018","Weiner, Robert editor.",2018
270,The Oxford handbook of urban politics,"New York : Oxford University Press, ©2012","Mossberger, Karen; Clarke, Susan E. 1945-; John, Peter 1960-",2012
271,Counseling today's families,"4th ed. Pacific Grove, Calif. : Brooks/Cole Pub. Co., c2002","Goldenberg, Herbert. Goldenberg, Irene",2002
272,回眸時看社區工作,"第1版. 香港 : 香港基督敎女靑年會社區工作組, 2001","Chow, Wai-gat; Hong Kong Young Women's Christian Association. She qu gong zuo zu; 周巍屹; 香港基督敎女靑年會. 社區工作組.",2001
273,香港四代人,"第1版 香港 : 進一步多媒體有限公司, 2007","Lü, Dale. ; 呂大樂",2007
274,The making of community work,"London : Allen & Unwin, 1983","Thomas, David N.",1983
275,Community work in the 1990s,"Nottingham : Spokesman, 1994","Jacobs, Sidney; Popple, Keith",1994
276,社會行動與香港,"初版. 香港 : 靑文書屋, 1989","Wong, Chack-kie. ; 王卓祺.",1989
277,Empowerment social work with physically disabled people,"Norwich, England : Social Work Monographs, 1991","Holdsworth, Lisa.",1991
278,Promoting equality : working with diversity and difference,"3rd ed. Basingstoke ; New York : Palgrave Macmillan, 2011","Thompson, Neil 1955-",2011
279,What makes life worth living? : how Japanese and Americans make sense of their worlds,"Berkeley : University of California Press, c1996","Mathews, Gordon.",1996
280,Religion and conflict in South and Southeast Asia : disrupting violence,"London ; New York : Routledge, 2007","Cady, Linell Elizabeth 1952-; Simon, Sheldon W. 1937-",2007
281,The future of the past,"1st ed. New York : Farrar, Straus and Giroux, 2002","Stille, Alexander.",2002
282,"The new Japanese woman : modernity, media, and women in interwar Japan","Durham, N.C. : Duke University Press, 2003","Sato, Barbara Hamill.",2003
283,Morality and public policy,"Upper Saddle River, NJ : Prentice Hall, c2003","Cahn, Steven M; Kasachkoff, Tziporah 1942-",2003
284,The first Tung Chee-hwa administration : the first five years of the Hong Kong Special Administration Region,"Hong Kong : Chinese University Press, c2002","Liu, Zhaojia",2002
285,The Hong Kong Special Administrative Region in its first decade,"Hong Kong : City University of Hong Kong Press, 2007","Zheng, Yushuo 1949-",2007
286,Perspectives on Hong Kong society,"Hong Kong : Oxford University Press, 1996","Leung, Benjamin K. P. 1948-",1996
287,Uses of heritage,"London ; New York : Routledge, 2006","Smith, Laurajane.",2006
288,天注定 = A touch of sin,"New York, NY : Distributed by Kino Lorber Incorporated, 2014","Ichiyama, Shōzō; Jia, Zhangke, 1970-; Jiang, Wu, 1967-; Wang, Baoqiang; Zhao, Tao, 1978-; Luo, Lanshan; Zhang, Jiayi, 1970-; Li, Meng, 1990-; 市山尚三 film producer.; 贾樟柯 1970- screenwriter, film director.; 姜武 1967- actor.; 王宝强 actor.; 赵涛 1978- actor.; 罗蓝山 actor.; 张嘉译 1970- actor.; 李梦 1990- actor.; Kino Lorber, Inc.",2014
289,From colony to SAR : Hong Kong's challenges ahead,"Hong Kong : Chinese University Press, c1995","Zheng, Yushuo 1949-; Lo, Shiu Hing 1963-",1995
290,Liberation technology : social media and the struggle for democracy,"Baltimore, Md. : Johns Hopkins University Press, 2012","Diamond, Larry Jay; Plattner, Marc F. 1945-",2012
291,Handbook of trust research,"Cheltenham, UK : Edward Elgar, c2006","Bachmann, Reinhard 1961-; Zaheer, Akbar 1952-",2006
292,後過渡期基層運動的探索,"香港 : 天地圖書有限公司, 1995",Caritas Hong Kong. She qu fa zhan bu; 香港明愛. 社區發展部.,1995
293,The informal caring networks among Chinese families in Hong Kong,"Hong Kong : University of Hong Kong, 1990","Yen, Wen-hsiung",1990
294,Beyond self-interest,"Chicago : University of Chicago Press, 1990","Mansbridge, Jane J",1990
295,Raise the red lantern : three novellas,"New York : Simon & Schuster, 1994","Su, Tong 1963- Duke, Michael S",1994
296,"Learning Chinese : linguistic, sociocultural, and narrative perspectives","Boston : De Gruyter Mouton, 2013","Duff, Patricia 1959- editor of compilation.",2013
297,"Community organization and social administration : advances, trends, and emerging principles","New York : Haworth Press, c1993","Mizrahi, Terry; Morrison, John D",1993
298,Men and masculinities in contemporary Japan : dislocating the salaryman doxa,"London ; New York : RoutledgeCurzon, 2003","Roberson, James E. 1955-; Suzuki, Nobue 1957-",2003
299,Social issues in Hong Kong,"Hong Kong ; New York : Oxford University Press, 1990","Leung, Benjamin K. P. 1948-; Blowers, G. H (Geoffrey H.)",1990
300,Studies in empowerment : steps toward understanding and action,"New York : Haworth Press, c1984","Rappaport, Julian; Swift, Carolyn F; Hess, Robert 1948-",1984
301,20th-century fashion,"London : Thames & Hudson, 1999","Mendes, Valerie D. De la Haye, Amy",1999
302,Cinema and desire : feminist Marxism and cultural politics in the work of Dai Jinhua,"London : Verso, 2002","Dai, Jinhua 1959- Wang, Jing 1950-; Barlow, Tani E",2002
303,Women in culture : a women's studies anthology,"Malden, Mass. : Blackwell Publishers, 1998","Peach, Lucinda J",1998
304,"Changing clothes in China : fashion, history, nation","New York : Columbia University Press, c2008","Finnane, Antonia.",2008
305,Empowering practice in social care,"Buckingham : Open University Press, 1995","Braye, Suzy 1950- Preston-Shoot, Michael",1995
306,The animals reader : the essential classic and contemporary writings,"Oxford ; New York : Berg, 2007","Kalof, Linda; Fitzgerald, Amy J",2007
307,"Learning Chinese : linguistic, sociocultural, and narrative perspectives","Berlin ; Boston : De Gruyter Mouton, 2013","Duff, Patricia. Duff, Patricia 1959-",2013
308,Social work with groups : a comprehensive workbook,"6th ed. Belmont, CA : Thomson/Brooks/Cole, c2006","Zastrow, Charles.",2006
309,"Business, information technology and society","London ; New York : Routledge, 2003","Tansey, Stephen D. 1942-",2003
310,Social cleavages and political change : voter alignments and U.S. party coalitions,"New York : Oxford University Press, c1999","Manza, Jeff. Brooks, Clem",1999
311,The archaeology of early China : from prehistory to the Han Dynasty,"New York, NY : Cambridge University Press, 2015","Shelach-Lavi, Gideon author.",2015
312,Handbook of contemporary China,"Singapore ; Hackensack, NJ : World Scientific Pub., 2012","Zheng, Shusen; So, Alvin Y. 1953-",2012
313,Changing services for older people : the neighbourhood support units innovation,"Buckingham : Open University Press, 1996","Walker, Alan 1949- Warren, Lorna 1962-",1996
314,Politics and society in contemporary China,"Boulder, Colo. : Lynne Rienner Publishers, 2012","Larus, Elizabeth Freund.",2012
315,"Reproduction, ethics, and the law : feminist perspectives",Place of publication not identified Indiana University Press 1995,"Callahan, Joan C. Contributor",1995
316,"Social support networks and the care of the elderly : theory, research, and practice","New York : Springer Pub., c1985","Sauer, William J; Coward, Raymond T",1985
317,千言萬語 = Ordinary heroes,"香港 : 寰宇鐳射錄影有限公司 distributor, 1999","Xu, Anhua; Li, Lizhen; Wong, Anthony, 1961-; Xie, Junhao, 1963-; Li, Kangsheng, 1968-; Huan yu lei she lu ying you xian gong si; 許鞍華; 李麗珍; 黃秋生 1961-; 謝君豪 1963-; 李康生 1968-; 寰宇鐳射錄影有限公司.",1999
318,China's future,"First edition. Malden, MA : Polity, 2016","Shambaugh, David L. author.",2016
319,悲情城市,"經典珍藏版. 台北市 : 年代影視事業股份有限公司 : 勇士股份有限公司 distributor, 2006","Hou, Xiaoxian, 1947-; Wu, Nianzhen, 1952-; Zhu, Tianwen; Yang, Dengkui; Li, Tianlu, 1910-1998; Chen, Songyong, 1945-; Gao, Jie, 1958-; Leung, Tony Chiu Wai, 1962-; Xin, Shufen; Nian dai ying shi shi ye gu fen you xian gong si; Yong shi gu fen you xian gong si; 侯孝賢 1947-; 吳念眞 1952-; 朱天文; 楊登魁; 李天祿 1910-1998.; 陳松勇 1945-; 高捷 1958-; 梁朝偉 1962-; 辛樹芬; 年代影視事業股份有限公司.; 勇士股份有限公司.",2006
320,"Reproduction, ethics and the law : feminist perspectives","Bloomington : Indiana University Press, c1995","Callahan, Joan C. 1946-",1995
321,"Economics, ethics, and public policy","Lanham, Md. : Rowman & Littlefield, c1998","Wilber, Charles K",1998
322,"Dreaming of gold, dreaming of home : transnationalism and migration between the United States and South China, 1882-1943","Stanford, Calif. : Stanford University Press, 2000","Hsu, Madeline Yuan-yin.",2000
323,"Gender, race and class in media : a text-reader","Thousand Oaks, Calif. : Sage, c1995","Dines, Gail; Humez, Jean McMahon 1944-",1995
324,"One country, two societies : rural-urban inequality in contemporary China","Cambridge, Mass. : Harvard University Press, 2010","Whyte, Martin King",2010
325,Building Hong Kong : environmental considerations,"Hong Kong : Hong Kong University Press, c2000","Wong, Wah Sang; Chan, Edwin Hon Wan",2000
326,Urban fortunes : the political economy of place,"Berkeley, CA : University of California Press, c1987","Logan, John R. 1946- Molotch, Harvey Luskin",1987
327,Dirt! : the movie,"New York? : Common Ground Media ; Taipei : Hwe-Hon Enterprise Co., Ltd. distributor , c2010","Benenson, Bill; Rosow, Eugene; Dailly, Eleonore; Curtis, Jamie Lee 1958-; Shiva, Vandana; Capra, Fritjof; Vaynerchuk, Gary; Maathai, Wangari; Benyus, Janine M; Altieri, Miguel A; Cannard Robert H (Robert Hiatt), 1926-; Narby, Jeremy; Stamets, Paul; Lipkis, Andy; Rabhi, Pierre 1936-; Damrosch, Barbara; Orr, David W. 1944-; Register, Richard 1943-; Salgado, Sebastião 1944-; Salgado, Lélia Wanick; Jackson, Wes; Shute, Benjamin; Carter, Majora; Waters, Alice; Brinton, William F; Kinney, Wesley L; Petrini, Carlo; Logan, William Bryant; Common Ground Media.; Hui hong kai fa gu fen you xian gong si.",2010
328,Ethics and business : an introduction,"Cambridge ; New York : Cambridge University Press, 2007","Gibson, Kevin 1955-",2007
329,Chinese Englishes : a sociolinguistic history,"Cambridge : Cambridge University Press, 2003","Bolton, Kingsley 1947-",2003
330,Management ethics,"Malden, MA : Blackwell Pub., 2005","Bowie, Norman E. 1942- Werhane, Patricia Hogue",2005
331,老頭 = Old men,"Brooklyn, NY : Icarus Films c1999","Yang, Tianyi; 杨天乙; Tianyi Documentary Workshop.; Icarus Films.",1999
332,Handbook of contemporary China,"Singapore ; Hackensack, N.J. : World Scientific Pub., 2012","Tay, William S. Zheng, Shusen; So, Alvin Y. 1953-",2012
333,Burma chronicles,"Montréal : Drawn and Quarterly, c2008","Delisle, Guy. Dascher, Helge 1965-",2008
334,[Smoking ban],c2005,"Cheung, Leo; Ching, Frank; Asia Television Limited (Hong Kong, China). News & Public Affairs.; Asia Television Limited (Hong Kong, China)",2005
335,"China's living houses : folk beliefs, symbols, and household ornamentation","Honolulu : University of Hawai'i Press, c1998","Knapp, Ronald G. 1940-",1998
336,Up the Yangtze,"New York, N.Y. : Zeitgeist Films, 2008","Aung-Thwin, Mila; Wong, Germaine Ying Gee; Christou, John; Yung, Chang; Eyesteelfilm (Firm); National Film Board of Canada.; CBC Newsworld.; National Geographic Channel (Television station : Washington, D.C.); American Documentary, Inc.; Canadian Broadcasting Corporation.; Zweites Deutsches Fernsehen.; Zeitgeist Films.",2008
